""
"Indicator name: Intentional homicide  Data Source: UNODC(http://www.unodc.org/), Crime and criminal justice database(https://www.unodc.org/unodc/en/data-and-analysis/statistics/historic-data.html)"
"Description: Number of victims in total population express per 100,000 population. Intentional homicide is unlawful death purposefully inflicted on a person by another person. Data on intentional homicide should exclude attempted homicides."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Intentional homicide (Per 100,000 population)","Mongolia","2004","13.34"
"Robbery (Per 100,000 population)","Mongolia","2004","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2005","15.75"
"Robbery (Per 100,000 population)","Mongolia","2005","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2006","13.13"
"Robbery (Per 100,000 population)","Mongolia","2006","0.00"
"Intentional homicide (Per 100,000 population)","Mongolia","2007","11.37"
"Robbery (Per 100,000 population)","Mongolia","2007","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2008","8.06"
"Robbery (Per 100,000 population)","Mongolia","2008","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2009","8.19"
"Robbery (Per 100,000 population)","Mongolia","2009","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2010","8.79"
"Robbery (Per 100,000 population)","Mongolia","2010","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2011","9.60"
"Robbery (Per 100,000 population)","Mongolia","2011","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2012","7.05"
"Robbery (Per 100,000 population)","Mongolia","2012","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2013","7.11"
"Robbery (Per 100,000 population)","Mongolia","2013","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2014","7.24"
"Robbery (Per 100,000 population)","Mongolia","2014","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2015","7.14"
"Robbery (Per 100,000 population)","Mongolia","2015","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2016","6.02"
"Robbery (Per 100,000 population)","Mongolia","2016","0.00"
"Intentional homicide (Per 100,000 population)","Mongolia","2017","6.13"
"Robbery (Per 100,000 population)","Mongolia","2017","0.01"
"Intentional homicide (Per 100,000 population)","Mongolia","2018","6.18"
"Intentional homicide (Per 100,000 population)","Montenegro","2002","4.40"
"Intentional homicide (Per 100,000 population)","Montenegro","2003","3.26"
"Robbery (Per 100,000 population)","Montenegro","2003","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2004","2.28"
"Robbery (Per 100,000 population)","Montenegro","2004","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2005","3.57"
"Robbery (Per 100,000 population)","Montenegro","2005","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2006","4.05"
"Robbery (Per 100,000 population)","Montenegro","2006","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2007","1.94"
"Robbery (Per 100,000 population)","Montenegro","2007","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2008","3.86"
"Robbery (Per 100,000 population)","Montenegro","2008","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2009","3.37"
"Robbery (Per 100,000 population)","Montenegro","2009","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2010","2.40"
"Robbery (Per 100,000 population)","Montenegro","2010","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2011","3.36"
"Robbery (Per 100,000 population)","Montenegro","2011","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2012","2.72"
"Robbery (Per 100,000 population)","Montenegro","2012","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2013","1.60"
"Robbery (Per 100,000 population)","Montenegro","2013","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2014","3.19"
"Robbery (Per 100,000 population)","Montenegro","2014","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2015","2.71"
"Robbery (Per 100,000 population)","Montenegro","2015","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2016","4.46"
"Robbery (Per 100,000 population)","Montenegro","2016","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2017","2.39"
"Robbery (Per 100,000 population)","Montenegro","2017","0.00"
"Intentional homicide (Per 100,000 population)","Montenegro","2018","2.23"
"Intentional homicide (Per 100,000 population)","Morocco","1990","0.36"
"Intentional homicide (Per 100,000 population)","Morocco","1991","0.49"
"Intentional homicide (Per 100,000 population)","Morocco","1992","0.51"
"Intentional homicide (Per 100,000 population)","Morocco","1993","0.57"
"Intentional homicide (Per 100,000 population)","Morocco","1994","0.69"
"Intentional homicide (Per 100,000 population)","Morocco","1997","2.64"
"Intentional homicide (Per 100,000 population)","Morocco","1998","1.98"
"Intentional homicide (Per 100,000 population)","Morocco","1999","1.90"
"Intentional homicide (Per 100,000 population)","Morocco","2000","1.60"
"Intentional homicide (Per 100,000 population)","Morocco","2001","1.86"
"Intentional homicide (Per 100,000 population)","Morocco","2002","1.57"
"Intentional homicide (Per 100,000 population)","Morocco","2003","1.71"
"Robbery (Per 100,000 population)","Morocco","2003","0.16"
"Intentional homicide (Per 100,000 population)","Morocco","2004","1.56"
"Robbery (Per 100,000 population)","Morocco","2004","0.15"
"Intentional homicide (Per 100,000 population)","Morocco","2005","1.54"
"Robbery (Per 100,000 population)","Morocco","2005","0.15"
"Intentional homicide (Per 100,000 population)","Morocco","2006","1.62"
"Robbery (Per 100,000 population)","Morocco","2006","0.22"
"Intentional homicide (Per 100,000 population)","Morocco","2007","1.66"
"Robbery (Per 100,000 population)","Morocco","2007","0.22"
"Intentional homicide (Per 100,000 population)","Morocco","2008","1.35"
"Robbery (Per 100,000 population)","Morocco","2008","0.23"
"Intentional homicide (Per 100,000 population)","Morocco","2009","1.35"
"Robbery (Per 100,000 population)","Morocco","2009","0.26"
"Intentional homicide (Per 100,000 population)","Morocco","2010","1.39"
"Intentional homicide (Per 100,000 population)","Morocco","2011","1.35"
"Intentional homicide (Per 100,000 population)","Morocco","2012","1.15"
"Intentional homicide (Per 100,000 population)","Morocco","2013","1.27"
"Robbery (Per 100,000 population)","Morocco","2013","0.15"
"Intentional homicide (Per 100,000 population)","Morocco","2014","1.04"
"Intentional homicide (Per 100,000 population)","Morocco","2015","1.24"
"Robbery (Per 100,000 population)","Morocco","2015","0.19"
"Intentional homicide (Per 100,000 population)","Morocco","2016","1.69"
"Robbery (Per 100,000 population)","Morocco","2016","0.19"
"Intentional homicide (Per 100,000 population)","Morocco","2017","2.14"
"Robbery (Per 100,000 population)","Morocco","2017","0.48"
"Intentional homicide (Per 100,000 population)","Morocco","2018","1.42"
"Intentional homicide (Per 100,000 population)","Mozambique","2001","6.04"
"Intentional homicide (Per 100,000 population)","Mozambique","2002","5.54"
"Intentional homicide (Per 100,000 population)","Mozambique","2003","5.40"
"Intentional homicide (Per 100,000 population)","Mozambique","2004","5.68"
"Robbery (Per 100,000 population)","Mozambique","2004","0.08"
"Intentional homicide (Per 100,000 population)","Mozambique","2005","5.31"
"Robbery (Per 100,000 population)","Mozambique","2005","0.07"
"Intentional homicide (Per 100,000 population)","Mozambique","2006","4.24"
"Robbery (Per 100,000 population)","Mozambique","2006","0.06"
"Intentional homicide (Per 100,000 population)","Mozambique","2007","3.92"
"Robbery (Per 100,000 population)","Mozambique","2007","0.06"
"Intentional homicide (Per 100,000 population)","Mozambique","2008","4.47"
"Robbery (Per 100,000 population)","Mozambique","2008","0.06"
"Intentional homicide (Per 100,000 population)","Mozambique","2009","3.59"
"Robbery (Per 100,000 population)","Mozambique","2009","0.05"
"Intentional homicide (Per 100,000 population)","Mozambique","2010","3.72"
"Intentional homicide (Per 100,000 population)","Mozambique","2011","3.51"
"Intentional homicide (Per 100,000 population)","Myanmar","1990","4.95"
"Intentional homicide (Per 100,000 population)","Myanmar","1995","3.67"
"Intentional homicide (Per 100,000 population)","Myanmar","2000","2.23"
"Intentional homicide (Per 100,000 population)","Myanmar","2001","1.94"
"Intentional homicide (Per 100,000 population)","Myanmar","2002","1.71"
"Intentional homicide (Per 100,000 population)","Myanmar","2003","1.59"
"Intentional homicide (Per 100,000 population)","Myanmar","2004","1.53"
"Intentional homicide (Per 100,000 population)","Myanmar","2005","1.38"
"Intentional homicide (Per 100,000 population)","Myanmar","2006","1.58"
"Intentional homicide (Per 100,000 population)","Myanmar","2007","1.51"
"Intentional homicide (Per 100,000 population)","Myanmar","2008","1.58"
"Intentional homicide (Per 100,000 population)","Myanmar","2009","1.75"
"Robbery (Per 100,000 population)","Myanmar","2009","0.00"
"Intentional homicide (Per 100,000 population)","Myanmar","2010","1.58"
"Robbery (Per 100,000 population)","Myanmar","2010","0.00"
"Intentional homicide (Per 100,000 population)","Myanmar","2011","2.07"
"Robbery (Per 100,000 population)","Myanmar","2011","0.00"
"Intentional homicide (Per 100,000 population)","Myanmar","2012","2.79"
"Robbery (Per 100,000 population)","Myanmar","2012","0.00"
"Intentional homicide (Per 100,000 population)","Myanmar","2013","2.39"
"Robbery (Per 100,000 population)","Myanmar","2013","0.00"
"Intentional homicide (Per 100,000 population)","Myanmar","2014","2.35"
"Robbery (Per 100,000 population)","Myanmar","2014","0.00"
"Intentional homicide (Per 100,000 population)","Myanmar","2015","2.19"
"Robbery (Per 100,000 population)","Myanmar","2015","0.00"
"Intentional homicide (Per 100,000 population)","Myanmar","2016","2.26"
"Robbery (Per 100,000 population)","Myanmar","2016","0.00"
"Intentional homicide (Per 100,000 population)","Namibia","1995","22.91"
"Intentional homicide (Per 100,000 population)","Namibia","1996","21.22"
"Intentional homicide (Per 100,000 population)","Namibia","1997","19.26"
"Intentional homicide (Per 100,000 population)","Namibia","1998","23.50"
"Intentional homicide (Per 100,000 population)","Namibia","1999","21.49"
"Intentional homicide (Per 100,000 population)","Namibia","2000","21.17"
"Intentional homicide (Per 100,000 population)","Namibia","2001","19.36"
"Intentional homicide (Per 100,000 population)","Namibia","2002","18.69"
"Intentional homicide (Per 100,000 population)","Namibia","2004","18.45"
"Intentional homicide (Per 100,000 population)","Namibia","2008","17.32"
"Intentional homicide (Per 100,000 population)","Namibia","2009","18.64"
"Intentional homicide (Per 100,000 population)","Namibia","2010","14.82"
"Intentional homicide (Per 100,000 population)","Namibia","2011","14.28"
"Intentional homicide (Per 100,000 population)","Namibia","2012","17.68"
"Intentional homicide (Per 100,000 population)","Nepal","1990","1.87"
"Intentional homicide (Per 100,000 population)","Nepal","1997","2.55"
"Intentional homicide (Per 100,000 population)","Nepal","1998","2.82"
"Intentional homicide (Per 100,000 population)","Nepal","1999","2.68"
"Intentional homicide (Per 100,000 population)","Nepal","2000","2.65"
"Intentional homicide (Per 100,000 population)","Nepal","2001","3.48"
"Intentional homicide (Per 100,000 population)","Nepal","2002","3.47"
"Intentional homicide (Per 100,000 population)","Nepal","2003","3.02"
"Intentional homicide (Per 100,000 population)","Nepal","2004","3.68"
"Intentional homicide (Per 100,000 population)","Nepal","2005","3.41"
"Robbery (Per 100,000 population)","Nepal","2005","0.00"
"Intentional homicide (Per 100,000 population)","Nepal","2006","2.34"
"Robbery (Per 100,000 population)","Nepal","2006","0.00"
"Intentional homicide (Per 100,000 population)","Nepal","2007","3.19"
"Intentional homicide (Per 100,000 population)","Nepal","2008","3.35"
"Intentional homicide (Per 100,000 population)","Nepal","2009","3.00"
"Intentional homicide (Per 100,000 population)","Nepal","2010","3.01"
"Intentional homicide (Per 100,000 population)","Nepal","2011","2.51"
"Intentional homicide (Per 100,000 population)","Nepal","2012","2.38"
"Intentional homicide (Per 100,000 population)","Nepal","2013","2.25"
"Intentional homicide (Per 100,000 population)","Nepal","2014","2.07"
"Intentional homicide (Per 100,000 population)","Nepal","2016","2.30"
"Robbery (Per 100,000 population)","Nepal","2016","0.00"
"Intentional homicide (Per 100,000 population)","Netherlands","1990","0.90"
"Intentional homicide (Per 100,000 population)","Netherlands","1991","1.17"
"Intentional homicide (Per 100,000 population)","Netherlands","1992","1.27"
"Intentional homicide (Per 100,000 population)","Netherlands","1993","1.26"
"Intentional homicide (Per 100,000 population)","Netherlands","1994","1.11"
"Intentional homicide (Per 100,000 population)","Netherlands","1995","1.25"
"Intentional homicide (Per 100,000 population)","Netherlands","1996","1.36"
"Intentional homicide (Per 100,000 population)","Netherlands","1997","1.33"
"Intentional homicide (Per 100,000 population)","Netherlands","1998","1.12"
"Intentional homicide (Per 100,000 population)","Netherlands","1999","1.28"
"Intentional homicide (Per 100,000 population)","Netherlands","2000","1.13"
"Intentional homicide (Per 100,000 population)","Netherlands","2001","1.26"
"Intentional homicide (Per 100,000 population)","Netherlands","2002","1.21"
"Intentional homicide (Per 100,000 population)","Netherlands","2003","1.25"
"Robbery (Per 100,000 population)","Netherlands","2003","0.21"
"Intentional homicide (Per 100,000 population)","Netherlands","2004","1.17"
"Robbery (Per 100,000 population)","Netherlands","2004","0.18"
"Intentional homicide (Per 100,000 population)","Netherlands","2005","1.06"
"Robbery (Per 100,000 population)","Netherlands","2005","0.16"
"Intentional homicide (Per 100,000 population)","Netherlands","2006","0.78"
"Robbery (Per 100,000 population)","Netherlands","2006","0.14"
"Intentional homicide (Per 100,000 population)","Netherlands","2007","0.87"
"Robbery (Per 100,000 population)","Netherlands","2007","0.14"
"Intentional homicide (Per 100,000 population)","Netherlands","2008","0.91"
"Robbery (Per 100,000 population)","Netherlands","2008","0.13"
"Intentional homicide (Per 100,000 population)","Netherlands","2009","0.93"
"Robbery (Per 100,000 population)","Netherlands","2009","0.16"
"Intentional homicide (Per 100,000 population)","Netherlands","2010","0.86"
"Robbery (Per 100,000 population)","Netherlands","2010","0.16"
"Intentional homicide (Per 100,000 population)","Netherlands","2011","0.85"
"Robbery (Per 100,000 population)","Netherlands","2011","0.15"
"Intentional homicide (Per 100,000 population)","Netherlands","2012","0.86"
"Robbery (Per 100,000 population)","Netherlands","2012","0.15"
"Intentional homicide (Per 100,000 population)","Netherlands","2013","0.74"
"Robbery (Per 100,000 population)","Netherlands","2013","0.13"
"Intentional homicide (Per 100,000 population)","Netherlands","2014","0.73"
"Robbery (Per 100,000 population)","Netherlands","2014","0.10"
"Intentional homicide (Per 100,000 population)","Netherlands","2015","0.61"
"Robbery (Per 100,000 population)","Netherlands","2015","0.10"
"Intentional homicide (Per 100,000 population)","Netherlands","2016","0.55"
"Robbery (Per 100,000 population)","Netherlands","2016","0.09"
"Intentional homicide (Per 100,000 population)","Netherlands","2017","0.78"
"Robbery (Per 100,000 population)","Netherlands","2017","0.08"
"Intentional homicide (Per 100,000 population)","Netherlands","2018","0.59"
"Intentional homicide (Per 100,000 population)","New Zealand","1990","1.86"
"Intentional homicide (Per 100,000 population)","New Zealand","1991","1.56"
"Intentional homicide (Per 100,000 population)","New Zealand","1992","1.90"
"Intentional homicide (Per 100,000 population)","New Zealand","1993","1.16"
"Intentional homicide (Per 100,000 population)","New Zealand","1994","1.57"
"Intentional homicide (Per 100,000 population)","New Zealand","1995","1.06"
"Intentional homicide (Per 100,000 population)","New Zealand","1996","1.29"
"Intentional homicide (Per 100,000 population)","New Zealand","1997","1.60"
"Intentional homicide (Per 100,000 population)","New Zealand","1998","1.29"
"Intentional homicide (Per 100,000 population)","New Zealand","1999","1.18"
"Intentional homicide (Per 100,000 population)","New Zealand","2000","1.35"
"Intentional homicide (Per 100,000 population)","New Zealand","2001","1.31"
"Intentional homicide (Per 100,000 population)","New Zealand","2002","1.51"
"Intentional homicide (Per 100,000 population)","New Zealand","2003","1.09"
"Intentional homicide (Per 100,000 population)","New Zealand","2004","1.10"
"Intentional homicide (Per 100,000 population)","New Zealand","2005","1.48"
"Robbery (Per 100,000 population)","New Zealand","2005","0.02"
"Intentional homicide (Per 100,000 population)","New Zealand","2006","1.17"
"Robbery (Per 100,000 population)","New Zealand","2006","0.03"
"Intentional homicide (Per 100,000 population)","New Zealand","2007","1.13"
"Robbery (Per 100,000 population)","New Zealand","2007","0.03"
"Intentional homicide (Per 100,000 population)","New Zealand","2008","1.19"
"Robbery (Per 100,000 population)","New Zealand","2008","0.03"
"Intentional homicide (Per 100,000 population)","New Zealand","2009","1.55"
"Robbery (Per 100,000 population)","New Zealand","2009","0.03"
"Intentional homicide (Per 100,000 population)","New Zealand","2010","0.98"
"Robbery (Per 100,000 population)","New Zealand","2010","0.02"
"Intentional homicide (Per 100,000 population)","New Zealand","2011","0.88"
"Robbery (Per 100,000 population)","New Zealand","2011","0.02"
"Intentional homicide (Per 100,000 population)","New Zealand","2012","0.92"
"Robbery (Per 100,000 population)","New Zealand","2012","0.02"
"Intentional homicide (Per 100,000 population)","New Zealand","2013","1.02"
"Robbery (Per 100,000 population)","New Zealand","2013","0.02"
"Intentional homicide (Per 100,000 population)","New Zealand","2014","0.94"
"Robbery (Per 100,000 population)","New Zealand","2014","0.02"
"Intentional homicide (Per 100,000 population)","New Zealand","2015","1.04"
"Robbery (Per 100,000 population)","New Zealand","2015","0.03"
"Intentional homicide (Per 100,000 population)","New Zealand","2016","1.07"
"Robbery (Per 100,000 population)","New Zealand","2016","0.04"
"Intentional homicide (Per 100,000 population)","New Zealand","2017","0.74"
"Robbery (Per 100,000 population)","New Zealand","2017","0.04"
"Intentional homicide (Per 100,000 population)","Nicaragua","1990","16.10"
"Intentional homicide (Per 100,000 population)","Nicaragua","1991","17.15"
"Intentional homicide (Per 100,000 population)","Nicaragua","1992","18.93"
"Intentional homicide (Per 100,000 population)","Nicaragua","1993","17.08"
"Intentional homicide (Per 100,000 population)","Nicaragua","1994","15.90"
"Intentional homicide (Per 100,000 population)","Nicaragua","1995","15.20"
"Intentional homicide (Per 100,000 population)","Nicaragua","1996","13.96"
"Intentional homicide (Per 100,000 population)","Nicaragua","1997","14.06"
"Intentional homicide (Per 100,000 population)","Nicaragua","1998","13.01"
"Intentional homicide (Per 100,000 population)","Nicaragua","1999","11.24"
"Intentional homicide (Per 100,000 population)","Nicaragua","2000","9.39"
"Intentional homicide (Per 100,000 population)","Nicaragua","2001","10.44"
"Intentional homicide (Per 100,000 population)","Nicaragua","2002","10.61"
"Intentional homicide (Per 100,000 population)","Nicaragua","2003","12.00"
"Intentional homicide (Per 100,000 population)","Nicaragua","2004","12.04"
"Intentional homicide (Per 100,000 population)","Nicaragua","2005","13.40"
"Robbery (Per 100,000 population)","Nicaragua","2005","0.21"
"Intentional homicide (Per 100,000 population)","Nicaragua","2006","13.09"
"Robbery (Per 100,000 population)","Nicaragua","2006","0.24"
"Intentional homicide (Per 100,000 population)","Nicaragua","2007","12.77"
"Intentional homicide (Per 100,000 population)","Nicaragua","2008","12.99"
"Intentional homicide (Per 100,000 population)","Nicaragua","2009","13.96"
"Intentional homicide (Per 100,000 population)","Nicaragua","2010","13.48"
"Robbery (Per 100,000 population)","Nicaragua","2010","0.28"
"Intentional homicide (Per 100,000 population)","Nicaragua","2011","12.50"
"Intentional homicide (Per 100,000 population)","Nicaragua","2012","11.25"
"Intentional homicide (Per 100,000 population)","Nicaragua","2013","9.80"
"Intentional homicide (Per 100,000 population)","Nicaragua","2014","8.55"
"Intentional homicide (Per 100,000 population)","Nicaragua","2015","8.42"
"Intentional homicide (Per 100,000 population)","Nicaragua","2016","7.19"
"Intentional homicide (Per 100,000 population)","Niger","2011","4.86"
"Intentional homicide (Per 100,000 population)","Niger","2012","4.43"
"Robbery (Per 100,000 population)","Nigeria","2007","0.02"
"Robbery (Per 100,000 population)","Nigeria","2008","0.02"
"Robbery (Per 100,000 population)","Nigeria","2009","0.06"
"Robbery (Per 100,000 population)","Nigeria","2010","0.02"
"Robbery (Per 100,000 population)","Nigeria","2012","0.03"
"Robbery (Per 100,000 population)","Nigeria","2013","0.02"
"Intentional homicide (Per 100,000 population)","Nigeria","2016","34.52"
"Intentional homicide (Per 100,000 population)","North Macedonia","1998","2.39"
"Intentional homicide (Per 100,000 population)","North Macedonia","1999","1.88"
"Intentional homicide (Per 100,000 population)","North Macedonia","2000","2.31"
"Intentional homicide (Per 100,000 population)","North Macedonia","2001","2.69"
"Intentional homicide (Per 100,000 population)","North Macedonia","2002","2.93"
"Intentional homicide (Per 100,000 population)","North Macedonia","2003","3.41"
"Intentional homicide (Per 100,000 population)","North Macedonia","2004","2.38"
"Intentional homicide (Per 100,000 population)","North Macedonia","2005","2.14"
"Robbery (Per 100,000 population)","North Macedonia","2005","0.01"
"Intentional homicide (Per 100,000 population)","North Macedonia","2006","2.23"
"Robbery (Per 100,000 population)","North Macedonia","2006","0.00"
"Intentional homicide (Per 100,000 population)","North Macedonia","2007","2.03"
"Robbery (Per 100,000 population)","North Macedonia","2007","0.01"
"Intentional homicide (Per 100,000 population)","North Macedonia","2008","1.69"
"Robbery (Per 100,000 population)","North Macedonia","2008","0.00"
"Intentional homicide (Per 100,000 population)","North Macedonia","2009","1.69"
"Robbery (Per 100,000 population)","North Macedonia","2009","0.01"
"Intentional homicide (Per 100,000 population)","North Macedonia","2010","2.08"
"Robbery (Per 100,000 population)","North Macedonia","2010","0.01"
"Intentional homicide (Per 100,000 population)","North Macedonia","2011","1.45"
"Robbery (Per 100,000 population)","North Macedonia","2011","0.01"
"Intentional homicide (Per 100,000 population)","North Macedonia","2012","1.40"
"Robbery (Per 100,000 population)","North Macedonia","2012","0.00"
"Intentional homicide (Per 100,000 population)","North Macedonia","2013","1.06"
"Robbery (Per 100,000 population)","North Macedonia","2013","0.00"
"Intentional homicide (Per 100,000 population)","North Macedonia","2014","1.68"
"Robbery (Per 100,000 population)","North Macedonia","2014","0.00"
"Intentional homicide (Per 100,000 population)","North Macedonia","2015","1.20"
"Robbery (Per 100,000 population)","North Macedonia","2015","0.00"
"Intentional homicide (Per 100,000 population)","North Macedonia","2016","0.91"
"Robbery (Per 100,000 population)","North Macedonia","2016","0.00"
"Intentional homicide (Per 100,000 population)","North Macedonia","2017","1.49"
"Robbery (Per 100,000 population)","North Macedonia","2017","0.00"
"Intentional homicide (Per 100,000 population)","North Macedonia","2018","1.20"
"Intentional homicide (Per 100,000 population)","Norway","1990","1.11"
"Intentional homicide (Per 100,000 population)","Norway","1991","1.17"
"Intentional homicide (Per 100,000 population)","Norway","1992","1.07"
"Intentional homicide (Per 100,000 population)","Norway","1993","0.88"
"Intentional homicide (Per 100,000 population)","Norway","1994","0.76"
"Intentional homicide (Per 100,000 population)","Norway","1995","0.96"
"Intentional homicide (Per 100,000 population)","Norway","1996","0.98"
"Intentional homicide (Per 100,000 population)","Norway","1997","0.86"
"Intentional homicide (Per 100,000 population)","Norway","1998","0.85"
"Intentional homicide (Per 100,000 population)","Norway","1999","0.74"
"Intentional homicide (Per 100,000 population)","Norway","2000","1.07"
"Intentional homicide (Per 100,000 population)","Norway","2001","0.82"
"Intentional homicide (Per 100,000 population)","Norway","2002","1.01"
"Intentional homicide (Per 100,000 population)","Norway","2003","1.12"
"Robbery (Per 100,000 population)","Norway","2003","0.01"
"Intentional homicide (Per 100,000 population)","Norway","2004","0.78"
"Robbery (Per 100,000 population)","Norway","2004","0.02"
"Intentional homicide (Per 100,000 population)","Norway","2005","0.71"
"Robbery (Per 100,000 population)","Norway","2005","0.01"
"Intentional homicide (Per 100,000 population)","Norway","2006","0.71"
"Robbery (Per 100,000 population)","Norway","2006","0.01"
"Intentional homicide (Per 100,000 population)","Norway","2007","0.64"
"Robbery (Per 100,000 population)","Norway","2007","0.01"
"Intentional homicide (Per 100,000 population)","Norway","2008","0.71"
"Robbery (Per 100,000 population)","Norway","2008","0.02"
"Intentional homicide (Per 100,000 population)","Norway","2009","0.60"
"Robbery (Per 100,000 population)","Norway","2009","0.02"
"Intentional homicide (Per 100,000 population)","Norway","2010","0.59"
"Robbery (Per 100,000 population)","Norway","2010","0.02"
"Intentional homicide (Per 100,000 population)","Norway","2011","2.24"
"Robbery (Per 100,000 population)","Norway","2011","0.02"
"Intentional homicide (Per 100,000 population)","Norway","2012","0.54"
"Robbery (Per 100,000 population)","Norway","2012","0.01"
"Intentional homicide (Per 100,000 population)","Norway","2013","0.91"
"Robbery (Per 100,000 population)","Norway","2013","0.02"
"Intentional homicide (Per 100,000 population)","Norway","2014","0.56"
"Robbery (Per 100,000 population)","Norway","2014","0.01"
"Intentional homicide (Per 100,000 population)","Norway","2015","0.46"
"Robbery (Per 100,000 population)","Norway","2015","0.01"
"Intentional homicide (Per 100,000 population)","Norway","2016","0.51"
"Robbery (Per 100,000 population)","Norway","2016","0.01"
"Intentional homicide (Per 100,000 population)","Norway","2017","0.53"
"Robbery (Per 100,000 population)","Norway","2017","0.01"
"Intentional homicide (Per 100,000 population)","Norway","2018","0.47"
"Intentional homicide (Per 100,000 population)","Oman","2002","1.20"
"Intentional homicide (Per 100,000 population)","Oman","2003","1.47"
"Intentional homicide (Per 100,000 population)","Oman","2004","1.72"
"Intentional homicide (Per 100,000 population)","Oman","2005","2.11"
"Intentional homicide (Per 100,000 population)","Oman","2006","4.69"
"Intentional homicide (Per 100,000 population)","Oman","2007","1.39"
"Robbery (Per 100,000 population)","Oman","2007","0.00"
"Intentional homicide (Per 100,000 population)","Oman","2008","1.71"
"Robbery (Per 100,000 population)","Oman","2008","0.00"
"Intentional homicide (Per 100,000 population)","Oman","2009","1.29"
"Intentional homicide (Per 100,000 population)","Oman","2010","1.58"
"Intentional homicide (Per 100,000 population)","Oman","2011","1.05"
"Intentional homicide (Per 100,000 population)","Oman","2012","1.11"
"Intentional homicide (Per 100,000 population)","Oman","2013","2.58"
"Intentional homicide (Per 100,000 population)","Oman","2014","0.30"
"Robbery (Per 100,000 population)","Oman","2014","0.00"
"Intentional homicide (Per 100,000 population)","Oman","2015","0.37"
"Robbery (Per 100,000 population)","Oman","2015","0.00"
"Intentional homicide (Per 100,000 population)","Oman","2016","0.40"
"Robbery (Per 100,000 population)","Oman","2016","0.00"
"Intentional homicide (Per 100,000 population)","Oman","2017","0.51"
"Robbery (Per 100,000 population)","Oman","2017","0.00"
"Intentional homicide (Per 100,000 population)","Oman","2018","0.27"
"Intentional homicide (Per 100,000 population)","Pakistan","1990","7.63"
"Intentional homicide (Per 100,000 population)","Pakistan","1996","7.12"
"Intentional homicide (Per 100,000 population)","Pakistan","1997","7.10"
"Intentional homicide (Per 100,000 population)","Pakistan","1998","7.60"
"Intentional homicide (Per 100,000 population)","Pakistan","1999","6.73"
"Intentional homicide (Per 100,000 population)","Pakistan","2000","6.26"
"Intentional homicide (Per 100,000 population)","Pakistan","2001","6.57"
"Intentional homicide (Per 100,000 population)","Pakistan","2002","6.33"
"Intentional homicide (Per 100,000 population)","Pakistan","2003","6.10"
"Intentional homicide (Per 100,000 population)","Pakistan","2004","6.14"
"Intentional homicide (Per 100,000 population)","Pakistan","2005","6.10"
"Intentional homicide (Per 100,000 population)","Pakistan","2006","6.13"
"Intentional homicide (Per 100,000 population)","Pakistan","2007","6.29"
"Intentional homicide (Per 100,000 population)","Pakistan","2008","7.03"
"Intentional homicide (Per 100,000 population)","Pakistan","2009","7.12"
"Intentional homicide (Per 100,000 population)","Pakistan","2010","7.35"
"Robbery (Per 100,000 population)","Pakistan","2010","0.18"
"Intentional homicide (Per 100,000 population)","Pakistan","2011","7.56"
"Robbery (Per 100,000 population)","Pakistan","2011","0.21"
"Intentional homicide (Per 100,000 population)","Pakistan","2012","7.39"
"Robbery (Per 100,000 population)","Pakistan","2012","0.17"
"Intentional homicide (Per 100,000 population)","Pakistan","2013","7.29"
"Robbery (Per 100,000 population)","Pakistan","2013","0.17"
"Intentional homicide (Per 100,000 population)","Pakistan","2014","6.80"
"Robbery (Per 100,000 population)","Pakistan","2014","0.18"
"Intentional homicide (Per 100,000 population)","Pakistan","2015","4.76"
"Robbery (Per 100,000 population)","Pakistan","2015","0.15"
"Intentional homicide (Per 100,000 population)","Pakistan","2016","4.18"
"Robbery (Per 100,000 population)","Pakistan","2016","0.13"
"Intentional homicide (Per 100,000 population)","Pakistan","2017","3.96"
